cycle	biomass	PET	ethilene_glycol	terephtalate	PHA
0.0	1	9.999622	0.0	0.0	0.00012227332797
1.0	0.0010139239174	9.9992387368	0.0	0.0	0.00024624917967
2.0	0.0010280417103	9.998850137	0.0	0.0	0.00037195126088
3.0	0.0010423560782	9.9984561264	0.0	0.0	0.0004994036075
4.0	0.0010568697582	9.9980566296	0.0	0.0	0.00062863059007
5.0	0.0010715855254	9.9976515703	0.0	0.0	0.00075965691847
6.0	0.0010865061938	9.997240871	0.0	0.0	0.00089250764665
7.0	0.0011016346163	9.9968244531	0.0	0.0	0.0010272081774
8.0	0.0011169736858	9.996402237	0.0	0.0	0.0011637842672
9.0	0.0011325263351	9.9959741421	0.0	0.0	0.0013022620312
10.0	0.0011482955383	9.9955400864	0.0	0.0	0.0014426679482
11.0	0.0011642843106	9.9950999869	0.0	0.0	0.0015850288655
12.0	0.0011804957092	9.9946537595	0.0	0.0	0.0017293720046
13.0	0.0011969328339	9.9942013189	0.0	0.0	0.0018757249655
14.0	0.0012135988279	9.9937425785	0.0	0.0	0.002024115733
15.0	0.0012304968778	9.9932774507	0.0	0.0	0.0021745726813
16.0	0.0012476302147	9.9928058465	0.0	0.0	0.0023271245798
17.0	0.0012650021148	9.9923276757	0.0	0.0	0.0024818005982
18.0	0.0012826158998	9.9918428469	0.0	0.0	0.0026386303128
19.0	0.0013004749376	9.9913512674	0.0	0.0	0.0027976437114
20.0	0.0013185826433	9.9908528431	0.0	0.0	0.0029588711994
21.0	0.0013369424791	9.9903474789	0.0	0.0	0.0031223436056
22.0	0.0013555579558	9.989835078	0.0	0.0	0.0032880921881
23.0	0.0013744326329	9.9893155424	0.0	0.0	0.0034561486402
24.0	0.0013935701194	9.9887887729	0.0	0.0	0.0036265450965
25.0	0.0014129740746	9.9882546687	0.0	0.0	0.0037993141389
26.0	0.001432648209	9.9877131277	0.0	0.0	0.0039744888032
27.0	0.0014525962843	9.9871640463	0.0	0.0	0.0041521025851
28.0	0.001472822115	9.9866073195	0.0	0.0	0.0043321894467
29.0	0.0014933295686	9.986042841	0.0	0.0	0.0045147838228
30.0	0.0015141225662	9.9854705026	0.0	0.0	0.0046999206279
31.0	0.0015352050838	9.9848901951	0.0	0.0	0.0048876352626
32.0	0.0015565811526	9.9843018074	0.0	0.0	0.0050779636204
33.0	0.00157825486	9.9837052271	0.0	0.0	0.0052709420945
34.0	0.0016002303504	9.98310034	0.0	0.0	0.005466607585
35.0	0.0016225118256	9.9824870306	0.0	0.0	0.0056649975056
36.0	0.0016451035463	9.9818651814	0.0	0.0	0.005866149791
37.0	0.0016680098322	9.9812346737	0.0	0.0	0.0060701029043
38.0	0.0016912350634	9.9805953868	0.0	0.0	0.0062768958439
39.0	0.0017147836808	9.9799471986	0.0	0.0	0.0064865681513
40.0	0.0017386601872	9.9792899851	0.0	0.0	0.0066991599186
41.0	0.0017628691481	9.9786236205	0.0	0.0	0.0069147117961
42.0	0.0017874151925	9.9779479776	0.0	0.0	0.0071332650002
43.0	0.0018123030141	9.977262927	0.0	0.0	0.007354861321
44.0	0.0018375373716	9.9765683379	0.0	0.0	0.0075795431307
45.0	0.0018631230902	9.9758640774	0.0	0.0	0.0078073533914
46.0	0.0018890650623	9.9751500108	0.0	0.0	0.0080383356633
47.0	0.0019153682482	9.9744260016	0.0	0.0	0.0082725341133
48.0	0.0019420376775	9.9736919114	0.0	0.0	0.0085099935232
49.0	0.0019690784498	9.9729475997	0.0	0.0	0.0087507592983
50.0	0.0019964957356	9.9721929243	0.0	0.0	0.0089948774761
51.0	0.0020242947773	9.9714277409	0.0	0.0	0.0092423947353
52.0	0.0020524808906	9.9706519031	0.0	0.0	0.0094933584044
53.0	0.0020810594651	9.9698652626	0.0	0.0	0.009747816471
54.0	0.0021100359652	9.969067669	0.0	0.0	0.010005817591
55.0	0.0021394159318	9.9682589698	0.0	0.0	0.010267411096
