cycle	biomass	PET	ethilene_glycol	terephtalate	PHA
0.0	1	9.999622	0.0	0.0	0.0
1.0	0.0010281849278	9.9992333461	0.0	0.0	0.0
2.0	0.0010571642458	9.998833738	0.0	0.0	0.0
3.0	0.0010869603438	9.998422867	0.0	0.0	0.0
4.0	0.0011175962426	9.9980004156	0.0	0.0	0.0
5.0	0.0011490956121	9.9975660575	0.0	0.0	0.0
6.0	0.001181482789	9.997119457	0.0	0.0	0.0
7.0	0.0012147827961	9.9966602691	0.0	0.0	0.0
8.0	0.0012490213616	9.996188139	0.0	0.0	0.0
9.0	0.0012842249385	9.995702702	0.0	0.0	0.0
10.0	0.0013204207257	9.995203583	0.0	0.0	0.0
11.0	0.0013576366886	9.9946903963	0.0	0.0	0.0
12.0	0.0013959015807	9.9941627455	0.0	0.0	0.0
13.0	0.001435244966	9.9936202229	0.0	0.0	0.0
14.0	0.0014756972418	9.9930624093	0.0	0.0	0.0
15.0	0.0015172896621	9.9924888738	0.0	0.0	0.0
16.0	0.0015600543617	9.9918991733	0.0	0.0	0.0
17.0	0.0016040243813	9.9912928521	0.0	0.0	0.0
18.0	0.0016492336927	9.9906694417	0.0	0.0	0.0
19.0	0.0016957172253	9.9900284606	0.0	0.0	0.0
20.0	0.0017435108929	9.9893694135	0.0	0.0	0.0
21.0	0.0017926516216	9.9886917912	0.0	0.0	0.0
22.0	0.0018431773782	9.9879950702	0.0	0.0	0.0
23.0	0.0018951271996	9.9872787121	0.0	0.0	0.0
24.0	0.001948541223	9.9865421635	0.0	0.0	0.0
25.0	0.0020034607167	9.9857848553	0.0	0.0	0.0
26.0	0.0020599281124	9.9850062025	0.0	0.0	0.0
27.0	0.0021179870376	9.9842056034	0.0	0.0	0.0
28.0	0.0021776823494	9.9833824395	0.0	0.0	0.0
29.0	0.0022390601693	9.9825360747	0.0	0.0	0.0
30.0	0.0023021679186	9.9816658553	0.0	0.0	0.0
31.0	0.0023670543552	9.9807711087	0.0	0.0	0.0
32.0	0.0024337696114	9.9798511438	0.0	0.0	0.0
33.0	0.0025023652323	9.9789052497	0.0	0.0	0.0
34.0	0.0025728942157	9.9779326957	0.0	0.0	0.0
35.0	0.0026454110535	9.9769327304	0.0	0.0	0.0
36.0	0.0027199717732	9.975904581	0.0	0.0	0.0
37.0	0.0027966339813	9.9748474534	0.0	0.0	0.0
38.0	0.0028754569083	9.9737605307	0.0	0.0	0.0
39.0	0.0029565014537	9.9726429731	0.0	0.0	0.0
40.0	0.0030398302338	9.9714939173	0.0	0.0	0.0
41.0	0.0031255076296	9.9703124754	0.0	0.0	0.0
42.0	0.0032135998366	9.9690977347	0.0	0.0	0.0
43.0	0.003304174916	9.9678487565	0.0	0.0	0.0
44.0	0.0033973028476	9.9665645761	0.0	0.0	0.0
45.0	0.0034930555832	9.9652442011	0.0	0.0	0.0
46.0	0.0035915071027	9.9638866114	0.0	0.0	0.0
47.0	0.0036927334712	9.9624907581	0.0	0.0	0.0
48.0	0.0037968128976	9.9610555629	0.0	0.0	0.0
49.0	0.0039038257951	9.9595799167	0.0	0.0	0.0
50.0	0.0040138548434	9.9580626796	0.0	0.0	0.0
51.0	0.0041269850525	9.9565026792	0.0	0.0	0.0
52.0	0.0042433038284	9.9548987104	0.0	0.0	0.0
53.0	0.0043629010406	9.9532495338	0.0	0.0	0.0
54.0	0.0044858690915	9.9515538753	0.0	0.0	0.0
55.0	0.0046123029882	9.9498104247	0.0	0.0	0.0
56.0	0.004742300415	9.9480178352	0.0	0.0	0.0
