cycle	biomass	PET	ethilene_glycol	terephtalate	PHA
0.0	1	9.999622	0.0	0.0	7.6213732117e-05
1.0	0.0010202868405	9.9992363316	0.0	0.0	0.00015397360006
2.0	0.0010409852369	9.9988428392	0.0	0.0	0.00023331097004
3.0	0.0010621035383	9.998441364	0.0	0.0	0.00031425784459
4.0	0.0010836502634	9.9980317442	0.0	0.0	0.00039684687547
5.0	0.0011056341034	9.9976138145	0.0	0.0	0.00048111137685
6.0	0.0011280639261	9.9971874064	0.0	0.0	0.00056708533873
7.0	0.001150948779	9.9967523477	0.0	0.0	0.00065480344065
8.0	0.0011742978933	9.9963084631	0.0	0.0	0.00074430106572
9.0	0.0011981206874	9.9958555735	0.0	0.0	0.00083561431483
10.0	0.0012224267706	9.9953934962	0.0	0.0	0.00092878002126
11.0	0.0012472259475	9.9949220448	0.0	0.0	0.0010238357655
12.0	0.0012725282214	9.9944410291	0.0	0.0	0.0011208198905
13.0	0.0012983437984	9.9939502551	0.0	0.0	0.0012197715169
14.0	0.001324683092	9.9934495249	0.0	0.0	0.0013207305593
15.0	0.0013515567266	9.9929386365	0.0	0.0	0.0014237377416
16.0	0.0013789755423	9.9924173837	0.0	0.0	0.0015288346141
17.0	0.0014069505991	9.9918855564	0.0	0.0	0.0016360635702
18.0	0.0014354931815	9.99134294	0.0	0.0	0.001745467863
19.0	0.0014646148027	9.9907893156	0.0	0.0	0.0018570916232
20.0	0.0014943272096	9.9902244599	0.0	0.0	0.0019709798769
21.0	0.0015246423873	9.9896481451	0.0	0.0	0.0020871785633
22.0	0.0015555725642	9.9890601387	0.0	0.0	0.002205734554
23.0	0.0015871302167	9.9884602034	0.0	0.0	0.0023266956712
24.0	0.0016193280742	9.9878480974	0.0	0.0	0.0024501107073
25.0	0.0016521791246	9.9872235737	0.0	0.0	0.0025760294445
26.0	0.0016856966189	9.9865863804	0.0	0.0	0.002704502675
27.0	0.0017198940774	9.9859362604	0.0	0.0	0.0028355822215
28.0	0.0017547852942	9.9852729516	0.0	0.0	0.0029693209578
29.0	0.0017903843435	9.9845961863	0.0	0.0	0.0031057728306
30.0	0.0018267055851	9.9839056916	0.0	0.0	0.0032449928807
31.0	0.0018637636699	9.9832011889	0.0	0.0	0.0033870372658
32.0	0.0019015735462	9.9824823941	0.0	0.0	0.0035319632826
33.0	0.0019401504654	9.9817490173	0.0	0.0	0.0036798293905
34.0	0.0019795099884	9.9810007625	0.0	0.0	0.0038306952344
35.0	0.0020196679918	9.980237328	0.0	0.0	0.0039846216697
36.0	0.0020606406742	9.9794584058	0.0	0.0	0.0041416707861
37.0	0.0021024445628	9.9786636818	0.0	0.0	0.0043019059328
38.0	0.0021450965203	9.9778528353	0.0	0.0	0.0044653917443
39.0	0.0021886137513	9.9770255393	0.0	0.0	0.0046321941665
40.0	0.0022330138093	9.9761814601	0.0	0.0	0.0048023804828
41.0	0.0022783146043	9.9753202571	0.0	0.0	0.0049760193417
42.0	0.0023245344092	9.9744415831	0.0	0.0	0.0051531807844
43.0	0.002371691868	9.9735450836	0.0	0.0	0.0053339362731
44.0	0.0024198060026	9.9726303969	0.0	0.0	0.0055183587196
45.0	0.002468896221	9.9716971542	0.0	0.0	0.0057065225148
46.0	0.0025189823248	9.9707449788	0.0	0.0	0.0058985035589
47.0	0.0025700845174	9.9697734869	0.0	0.0	0.0060943792918
48.0	0.0026222234121	9.9687822864	0.0	0.0	0.0062942287245
49.0	0.0026754200401	9.9677709777	0.0	0.0	0.0064981324708
50.0	0.0027296958597	9.9667391526	0.0	0.0	0.0067061727798
51.0	0.0027850727642	9.9656863951	0.0	0.0	0.0069184335693
52.0	0.0028415730911	9.9646122805	0.0	0.0	0.0071350004597
53.0	0.0028992196312	9.9635163755	0.0	0.0	0.007355960808
54.0	0.0029580356373	9.962398238	0.0	0.0	0.0075814037437
55.0	0.0030180448345	9.9612574171	0.0	0.0	0.0078114202042
56.0	0.0030792714286	9.9600934525	0.0	0.0	0.008046102972
57.0	0.0031417401169	9.9589058747	0.0	0.0	0.0082855467116
58.0	0.0032054760975	9.9576942047	0.0	0.0	0.0085298480082
59.0	0.0032705050798	9.9564579538	0.0	0.0	0.0087791054063
60.0	0.0033368532946	9.9551966233	0.0	0.0	0.0090334194494
61.0	0.0034045475052	9.9539097043	0.0	0.0	0.0092928927209
62.0	0.0034736150173	9.9525966778	0.0	0.0	0.0095576298853
63.0	0.0035440836911	9.9512570142	0.0	0.0	0.0098277377304
64.0	0.0036159819516	9.949890173	0.0	0.0	0.01010332521
65.0	0.0036893388007	9.948495603	0.0	0.0	0.010384503489
66.0	0.0037641838284	9.9470727415	0.0	0.0	0.010671385987
67.0	0.0038405472253	9.9456210146	0.0	0.0	0.010964088425
68.0	0.0039184597942	9.9441398368	0.0	0.0	0.01126272887
69.0	0.003997952963	9.9426286106	0.0	0.0	0.011567427786
70.0	0.0040790587971	9.9410867264	0.0	0.0	0.01187830808
71.0	0.0041618100122	9.9395135622	0.0	0.0	0.012195495154
72.0	0.0042462399881	9.9379084835	0.0	0.0	0.012519116951
73.0	0.0043323827814	9.9362708428	0.0	0.0	0.012849304011
74.0	0.0044202731398	9.9345999795	0.0	0.0	0.013186189524
75.0	0.0045099465159	9.9328952198	0.0	0.0	0.01352990938
76.0	0.0046014390815	9.9311558758	0.0	0.0	0.013880602225
77.0	0.0046947877421	9.929381246	0.0	0.0	0.014238409521
78.0	0.0047900301522	9.9275706146	0.0	0.0	0.014603475596
79.0	0.0048872047298	9.9257232512	0.0	0.0	0.014975947708
80.0	0.0049863506726	9.9238384107	0.0	0.0	0.015355976102
81.0	0.0050875079733	9.9219153327	0.0	0.0	0.015743714072
82.0	0.005190717436	9.9199532415	0.0	0.0	0.01613931802
83.0	0.0052960206927	9.9179513456	0.0	0.0	0.016542947522
84.0	0.0054034602197	9.9159088377	0.0	0.0	0.016954765392
85.0	0.0055130793552	9.9138248937	0.0	0.0	0.017374937745
86.0	0.0056249223167	9.9116986731	0.0	0.0	0.017803634068
87.0	0.0057390342185	9.9095293181	0.0	0.0	0.018241027284
88.0	0.0058554610902	9.9073159538	0.0	0.0	0.018687293827
89.0	0.0059742498953	9.9050576874	0.0	0.0	0.019142613708
90.0	0.00609544855	9.9027536078	0.0	0.0	0.019607170591
91.0	0.0062191059424	9.9004027858	0.0	0.0	0.020081151866
92.0	0.0063452719526	9.898004273	0.0	0.0	0.020564748722
93.0	0.0064739974726	9.8955571019	0.0	0.0	0.021058156232
94.0	0.0066053344266	9.8930602855	0.0	0.0	0.02156157342
95.0	0.0067393357925	9.8905128166	0.0	0.0	0.022075203353
96.0	0.0068760556227	9.8879136676	0.0	0.0	0.022599253214
97.0	0.0070155490663	9.88526179	0.0	0.0	0.023133934391
98.0	0.0071578723911	9.8825561142	0.0	0.0	0.02367946256
99.0	0.0073030830066	9.8797955489	0.0	0.0	0.024236057772
100.0	0.0074512394866	9.8769789803	0.0	0.0	0.024803944542
101.0	0.0076024015935	9.8741052725	0.0	0.0	0.025383351941
102.0	0.0077566303019	9.8711732663	0.0	0.0	0.025974513685
103.0	0.0079139878236	9.8681817789	0.0	0.0	0.026577668233
104.0	0.0080745376322	9.8651296037	0.0	0.0	0.027193058881
105.0	0.0082383444891	9.8620155094	0.0	0.0	0.027820933861
106.0	0.0084054744696	9.8588382401	0.0	0.0	0.02846154644
107.0	0.0085759949894	9.855596514	0.0	0.0	0.029115155025
108.0	0.0087499748318	9.8522890235	0.0	0.0	0.029782023263
109.0	0.0089274841755	9.8489144345	0.0	0.0	0.03046242015
110.0	0.0091085946229	9.8454713857	0.0	0.0	0.031156620141
111.0	0.0092933792291	9.8419584884	0.0	0.0	0.031864903256
112.0	0.0094819125311	9.8383743254	0.0	0.0	0.032587555198
113.0	0.0096742705781	9.8347174512	0.0	0.0	0.033324867464
114.0	0.0098705309621	9.8309863905	0.0	0.0	0.034077137466
115.0	0.010070772849	9.8271796383	0.0	0.0	0.034844668651
116.0	0.010275077012	9.8232956592	0.0	0.0	0.035627770617
117.0	0.01048352586	9.8193328864	0.0	0.0	0.036426759249
118.0	0.010696203477	9.8152897215	0.0	0.0	0.037241956835
119.0	0.010913195651	9.8111645336	0.0	0.0	0.038073692205
120.0	0.01113458991	9.8069556586	0.0	0.0	0.038922300858
121.0	0.011360475559	9.8026613988	0.0	0.0	0.039788125099
122.0	0.011590943715	9.7982800221	0.0	0.0	0.040671514178
123.0	0.011826087341	9.7938097611	0.0	0.0	0.041572824431
124.0	0.012066001289	9.7892488126	0.0	0.0	0.042492419421
125.0	0.012310782332	9.7845953369	0.0	0.0	0.043430670087
126.0	0.012560529209	9.7798474568	0.0	0.0	0.044387954896
127.0	0.012815342662	9.7750032573	0.0	0.0	0.045364659988
128.0	0.013075325474	9.7700607843	0.0	0.0	0.046361179342
129.0	0.013340582517	9.7650180441	0.0	0.0	0.047377914924
130.0	0.013611220786	9.7598730026	0.0	0.0	0.048415276859
131.0	0.013887349451	9.7546235845	0.0	0.0	0.049473683589
132.0	0.014169079894	9.7492676723	0.0	0.0	0.050553562049
133.0	0.014456525758	9.7438031056	0.0	0.0	0.05165534783
134.0	0.01474980299	9.7382276801	0.0	0.0	0.052779485364
135.0	0.01504902989	9.7325391468	0.0	0.0	0.053926428097
136.0	0.015354327159	9.7267352111	0.0	0.0	0.055096638674
137.0	0.015665817945	9.7208135319	0.0	0.0	0.056290589126
138.0	0.015983627895	9.7147717206	0.0	0.0	0.057508761061
139.0	0.016307885204	9.70860734	0.0	0.0	0.058751645855
140.0	0.01663872067	9.7023179035	0.0	0.0	0.060019744855
141.0	0.016976267742	9.6959008743	0.0	0.0	0.061313569577
142.0	0.017320662578	9.6893536639	0.0	0.0	0.062633641915
143.0	0.017672044097	9.6826736312	0.0	0.0	0.063980494349
144.0	0.018030554036	9.6758580818	0.0	0.0	0.065354670165
145.0	0.01839633701	9.6689042664	0.0	0.0	0.066756723666
146.0	0.018769540565	9.6618093801	0.0	0.0	0.068187220402
147.0	0.01915031524	9.6545705609	0.0	0.0	0.069646737398
148.0	0.019538814631	9.647184889	0.0	0.0	0.071135863382
149.0	0.019935195446	9.6396493851	0.0	0.0	0.072655199027
150.0	0.020339617576	9.6319610097	0.0	0.0	0.074205357193
151.0	0.020752244154	9.6241166614	0.0	0.0	0.075786963169
152.0	0.021173241621	9.616113176	0.0	0.0	0.077400654934
153.0	0.021602779796	9.6079473253	0.0	0.0	0.079047083407
154.0	0.022041031944	9.5996158152	0.0	0.0	0.080726912711
155.0	0.022488174843	9.5911152851	0.0	0.0	0.082440820444
156.0	0.022944388859	9.5824423061	0.0	0.0	0.08418949795
157.0	0.023409858016	9.5735933798	0.0	0.0	0.085973650598
158.0	0.023884770071	9.5645649367	0.0	0.0	0.087793998066
159.0	0.024369316592	9.555353335	0.0	0.0	0.089651274632
160.0	0.02486369303	9.5459548591	0.0	0.0	0.091546229472
161.0	0.025368098804	9.5363657177	0.0	0.0	0.093479626959
162.0	0.025882737378	9.526582043	0.0	0.0	0.095452246972
163.0	0.026407816343	9.5165998884	0.0	0.0	0.097464885212
164.0	0.026943547501	9.5064152275	0.0	0.0	0.099518353524
165.0	0.027490146951	9.4960239519	0.0	0.0	0.10161348022
166.0	0.028047835177	9.4854218702	0.0	0.0	0.10375111042
167.0	0.028616837135	9.4746047058	0.0	0.0	0.10593210638
168.0	0.029197382346	9.4635680952	0.0	0.0	0.10815734785
169.0	0.029789704984	9.4523075868	0.0	0.0	0.11042773245
170.0	0.030394043977	9.4408186381	0.0	0.0	0.11274417597
171.0	0.031010643099	9.429096615	0.0	0.0	0.11510761282
172.0	0.031639751069	9.4171367891	0.0	0.0	0.11751899633
173.0	0.032281621652	9.4049343362	0.0	0.0	0.1199792992
174.0	0.032936513761	9.392484334	0.0	0.0	0.12248951383
175.0	0.033604691562	9.3797817605	0.0	0.0	0.12505065279
176.0	0.034286424579	9.3668214921	0.0	0.0	0.12766374917
177.0	0.034981987805	9.3535983007	0.0	0.0	0.13032985702
178.0	0.035691661812	9.3401068525	0.0	0.0	0.13305005177
179.0	0.036415732862	9.3263417055	0.0	0.0	0.13582543068
180.0	0.037154493026	9.3122973071	0.0	0.0	0.13865711326
181.0	0.037908240299	9.2979679923	0.0	0.0	0.14154624173
182.0	0.038677278723	9.2833479809	0.0	0.0	0.14449398149
183.0	0.039461918507	9.2684313757	0.0	0.0	0.14750152158
184.0	0.040262476153	9.2532121597	0.0	0.0	0.15057007515
185.0	0.041079274584	9.2376841939	0.0	0.0	0.15370087998
186.0	0.041912643275	9.2218412148	0.0	0.0	0.15689519894
187.0	0.042762918384	9.2056768316	0.0	0.0	0.16015432055
188.0	0.043630442888	9.1891845242	0.0	0.0	0.16347955944
189.0	0.044515566723	9.17235764	0.0	0.0	0.16687225691
190.0	0.045418646924	9.1551893915	0.0	0.0	0.1703337815
191.0	0.046340047769	9.1376728534	0.0	0.0	0.17386552949
192.0	0.047280140927	9.1198009601	0.0	0.0	0.17746892548
193.0	0.048239305604	9.1015665026	0.0	0.0	0.181145423
194.0	0.049217928702	9.0829621256	0.0	0.0	0.18489650503
195.0	0.050216404971	9.0639803245	0.0	0.0	0.18872368467
196.0	0.051235137168	9.0446134426	0.0	0.0	0.19262850569
197.0	0.052274536223	9.024853668	0.0	0.0	0.19661254319
198.0	0.053335021401	9.0046930299	0.0	0.0	0.20067740422
199.0	0.054417020472	8.9841233961	0.0	0.0	0.20482472844
200.0	0.055520969887	8.9631364695	0.0	0.0	0.20905618877
201.0	0.056647314946	8.9417237845	0.0	0.0	0.21337349206
202.0	0.057796509989	8.9198767037	0.0	0.0	0.21777837978
203.0	0.058969018567	8.8975864147	0.0	0.0	0.22227262877
204.0	0.060165313641	8.8748439261	0.0	0.0	0.22685805187
205.0	0.061385877761	8.8516400643	0.0	0.0	0.23153649871
206.0	0.062631203272	8.8279654695	0.0	0.0	0.23630985646
207.0	0.063901792502	8.8038105919	0.0	0.0	0.24118005055
208.0	0.065198157973	8.7791656882	0.0	0.0	0.2461490455
209.0	0.066520822604	8.7540208173	0.0	0.0	0.25121884565
210.0	0.067870319921	8.7283658363	0.0	0.0	0.25639149603
211.0	0.069247194275	8.7021903969	0.0	0.0	0.26166908315
212.0	0.07065200106	8.6754839405	0.0	0.0	0.26705373583
213.0	0.072085306935	8.6482356945	0.0	0.0	0.2725476261
214.0	0.073547690059	8.6204346676	0.0	0.0	0.27815297005
215.0	0.075039740315	8.5920696458	0.0	0.0	0.28387202872
216.0	0.076562059557	8.5631291873	0.0	0.0	0.28970710902
217.0	0.078115261847	8.5336016183	0.0	0.0	0.29566056466
218.0	0.079699973703	8.5034750282	0.0	0.0	0.3017347971
219.0	0.081316834357	8.4727372648	0.0	0.0	0.30793225653
220.0	0.082966496004	8.4413759294	0.0	0.0	0.31425544283
221.0	0.084649624074	8.4093783715	0.0	0.0	0.32070690661
222.0	0.086366897495	8.3767316842	0.0	0.0	0.3272892502
223.0	0.088119008968	8.3434226988	0.0	0.0	0.33400512874
224.0	0.089906665247	8.3094379794	0.0	0.0	0.34085725124
225.0	0.091730587423	8.2747638173	0.0	0.0	0.34784838166
226.0	0.093591511218	8.2393862261	0.0	0.0	0.35498134002
227.0	0.095490187277	8.2032909353	0.0	0.0	0.36225900357
228.0	0.097427381475	8.1664633851	0.0	0.0	0.36968430793
229.0	0.099403875222	8.1288887202	0.0	0.0	0.37726024824
230.0	0.10142046578	8.0905517842	0.0	0.0	0.38498988045
231.0	0.10347796659	8.0514371128	0.0	0.0	0.39287632248
232.0	0.1055772076	8.0115289283	0.0	0.0	0.4009227555
233.0	0.10771903557	7.9708111329	0.0	0.0	0.40913242522
234.0	0.10990431446	7.929267302	0.0	0.0	0.4175086432
235.0	0.11213392575	7.8868806781	0.0	0.0	0.42605478818
236.0	0.11440876882	7.8436341635	0.0	0.0	0.43477430744
237.0	0.11672976126	7.7995103137	0.0	0.0	0.44367071819
238.0	0.11909783931	7.7544913305	0.0	0.0	0.45274760901
239.0	0.12151395818	7.7085590543	0.0	0.0	0.46200864127
240.0	0.12397909246	7.6616949573	0.0	0.0	0.47145755061
241.0	0.12649423654	7.6138801359	0.0	0.0	0.48109814847
242.0	0.12906040493	7.5650953028	0.0	0.0	0.4909343236
243.0	0.13167863278	7.5153207797	0.0	0.0	0.50097004364
244.0	0.1343499762	7.4645364886	0.0	0.0	0.51120935674
245.0	0.13707551274	7.4127219448	0.0	0.0	0.52165639314
246.0	0.1398563418	7.3598562476	0.0	0.0	0.53231536691
247.0	0.1426935851	7.3059180725	0.0	0.0	0.54319057758
248.0	0.1455883871	7.2508856621	0.0	0.0	0.55428641192
249.0	0.14854191548	7.1947368181	0.0	0.0	0.56560734567
250.0	0.15155536163	7.1374488914	0.0	0.0	0.5771579454
251.0	0.15462994107	7.0789987737	0.0	0.0	0.58894287031
252.0	0.15776689402	7.0193628877	0.0	0.0	0.60096687411
253.0	0.16096748584	6.9585171781	0.0	0.0	0.61323480695
254.0	0.16423300754	6.8964371012	0.0	0.0	0.62575161739
255.0	0.16756477637	6.8330976158	0.0	0.0	0.63852235437
256.0	0.17096413626	6.7684731723	0.0	0.0	0.65155216925
257.0	0.17443245842	6.702537703	0.0	0.0	0.66484631791
258.0	0.17797114188	6.6352646113	0.0	0.0	0.67841016284
259.0	0.18158161405	6.5666267612	0.0	0.0	0.69224917534
260.0	0.18526533129	6.496596466	0.0	0.0	0.70636893766
261.0	0.18902377951	6.4251454774	0.0	0.0	0.72077514536
262.0	0.19285847477	6.3522449739	0.0	0.0	0.73547360949
263.0	0.19677096389	6.2778655495	0.0	0.0	0.75047025902
264.0	0.20076282505	6.2019772017	0.0	0.0	0.76577114319
265.0	0.20483566845	6.124549319	0.0	0.0	0.78138243395
