cycle	biomass	PET	ethilene_glycol	terephtalate	PHA
0.0	1	9.999622	0.0	0.0	0.0
1.0	0.0010417804694	9.999228207	0.0	0.0	0.0
2.0	0.0010853065463	9.9988179611	0.0	0.0	0.0
3.0	0.0011306511632	9.998390575	0.0	0.0	0.0
4.0	0.0011778902995	9.9979453324	0.0	0.0	0.0
5.0	0.0012271031091	9.9974814875	0.0	0.0	0.0
6.0	0.0012783720529	9.9969982628	0.0	0.0	0.0
7.0	0.0013317830373	9.9964948488	0.0	0.0	0.0
8.0	0.0013874255577	9.995970402	0.0	0.0	0.0
9.0	0.0014453928487	9.9954240435	0.0	0.0	0.0
10.0	0.0015057820403	9.9948548579	0.0	0.0	0.0
11.0	0.0015686943207	9.9942618914	0.0	0.0	0.0
12.0	0.0016342351057	9.9936441505	0.0	0.0	0.0
13.0	0.0017025142155	9.9930006002	0.0	0.0	0.0
14.0	0.0017736460585	9.992330162	0.0	0.0	0.0
15.0	0.0018477498233	9.9916317125	0.0	0.0	0.0
16.0	0.0019249496782	9.9909040815	0.0	0.0	0.0
17.0	0.0020053749792	9.9901460498	0.0	0.0	0.0
18.0	0.0020891604871	9.9893563471	0.0	0.0	0.0
19.0	0.0021764465928	9.9885336503	0.0	0.0	0.0
20.0	0.002267379553	9.9876765809	0.0	0.0	0.0
21.0	0.0023621117349	9.9867837026	0.0	0.0	0.0
22.0	0.0024608018719	9.9858535195	0.0	0.0	0.0
23.0	0.0025636153291	9.9848844729	0.0	0.0	0.0
24.0	0.0026707243808	9.9838749391	0.0	0.0	0.0
25.0	0.0027823084989	9.9828232265	0.0	0.0	0.0
26.0	0.0028985546539	9.9817275728	0.0	0.0	0.0
27.0	0.0030196576278	9.9805861423	0.0	0.0	0.0
28.0	0.0031458203408	9.9793970222	0.0	0.0	0.0
29.0	0.0032772541912	9.9781582201	0.0	0.0	0.0
30.0	0.0034141794095	9.9768676603	0.0	0.0	0.0
31.0	0.0035568254277	9.9755231802	0.0	0.0	0.0
32.0	0.0037054312635	9.9741225272	0.0	0.0	0.0
33.0	0.0038602459208	9.9726633543	0.0	0.0	0.0
34.0	0.0040215288072	9.9711432164	0.0	0.0	0.0
35.0	0.0041895501683	9.9695595664	0.0	0.0	0.0
36.0	0.0043645915408	9.9679097508	0.0	0.0	0.0
37.0	0.0045469462239	9.9661910051	0.0	0.0	0.0
38.0	0.0047369197713	9.9644004495	0.0	0.0	0.0
39.0	0.0049348305026	9.9625350835	0.0	0.0	0.0
40.0	0.0051410100372	9.9605917817	0.0	0.0	0.0
41.0	0.0053558038496	9.9585672879	0.0	0.0	0.0
42.0	0.0055795718482	9.9564582097	0.0	0.0	0.0
43.0	0.0058126889788	9.9542610133	0.0	0.0	0.0
44.0	0.0060555458526	9.951972017	0.0	0.0	0.0
45.0	0.0063085494005	9.9495873853	0.0	0.0	0.0
46.0	0.0065721235555	9.9471031226	0.0	0.0	0.0
47.0	0.0068467099623	9.9445150662	0.0	0.0	0.0
48.0	0.0071327687181	9.9418188796	0.0	0.0	0.0
49.0	0.0074307791429	9.9390100451	0.0	0.0	0.0
50.0	0.0077412405832	9.9360838562	0.0	0.0	0.0
51.0	0.0080646732482	9.9330354097	0.0	0.0	0.0
52.0	0.0084016190817	9.9298595977	0.0	0.0	0.0
53.0	0.0087526426703	9.9265510988	0.0	0.0	0.0
54.0	0.0091183321892	9.9231043692	0.0	0.0	0.0
55.0	0.0094993003878	9.9195136336	0.0	0.0	0.0
56.0	0.0098961856166	9.9157728755	0.0	0.0	0.0
57.0	0.010309652897	9.9118758267	0.0	0.0	0.0
58.0	0.010740395033	9.9078159574	0.0	0.0	0.0
59.0	0.011189133779	9.9035864648	0.0	0.0	0.0
60.0	0.01165662104	9.899180262	0.0	0.0	0.0
61.0	0.012143640138	9.8945899661	0.0	0.0	0.0
62.0	0.012651007123	9.8898078854	0.0	0.0	0.0
63.0	0.013179572138	9.8848260071	0.0	0.0	0.0
64.0	0.013730220848	9.8796359836	0.0	0.0	0.0
65.0	0.01430387592	9.8742291185	0.0	0.0	0.0
66.0	0.014901498569	9.8685963521	0.0	0.0	0.0
67.0	0.015524090174	9.862728246	0.0	0.0	0.0
68.0	0.016172693947	9.8566149677	0.0	0.0	0.0
69.0	0.016848396691	9.8502462737	0.0	0.0	0.0
70.0	0.017552330613	9.8436114928	0.0	0.0	0.0
71.0	0.018285675224	9.8366995075	0.0	0.0	0.0
72.0	0.019049659318	9.8294987363	0.0	0.0	0.0
73.0	0.019845563025	9.8219971135	0.0	0.0	0.0
74.0	0.020674719963	9.8141820693	0.0	0.0	0.0
75.0	0.021538519467	9.806040509	0.0	0.0	0.0
76.0	0.02243840892	9.7975587904	0.0	0.0	0.0
77.0	0.023375896176	9.7887227016	0.0	0.0	0.0
78.0	0.02435255209	9.779517437	0.0	0.0	0.0
79.0	0.025370013146	9.769927572	0.0	0.0	0.0
80.0	0.026429984203	9.759937038	0.0	0.0	0.0
81.0	0.027534241348	9.7495290947	0.0	0.0	0.0
82.0	0.028684634875	9.7386863027	0.0	0.0	0.0
83.0	0.029883092383	9.7273904938	0.0	0.0	0.0
84.0	0.031131622009	9.7156227407	0.0	0.0	0.0
85.0	0.032432315789	9.7033633253	0.0	0.0	0.0
86.0	0.033787353165	9.6905917058	0.0	0.0	0.0
87.0	0.035199004638	9.6772864821	0.0	0.0	0.0
88.0	0.036669635573	9.6634253598	0.0	0.0	0.0
89.0	0.038201710158	9.6489851134	0.0	0.0	0.0
90.0	0.039797795539	9.6339415467	0.0	0.0	0.0
91.0	0.041460566116	9.6182694527	0.0	0.0	0.0
92.0	0.043192808028	9.6019425713	0.0	0.0	0.0
93.0	0.04499742382	9.5849335451	0.0	0.0	0.0
94.0	0.046877437308	9.5672138738	0.0	0.0	0.0
95.0	0.048835998641	9.5487538663	0.0	0.0	0.0
96.0	0.050876389585	9.529522591	0.0	0.0	0.0
97.0	0.053002029021	9.509487824	0.0	0.0	0.0
98.0	0.055216478671	9.4886159951	0.0	0.0	0.0
99.0	0.057523449066	9.4668721314	0.0	0.0	0.0
100.0	0.059926805767	9.4442197988	0.0	0.0	0.0
101.0	0.062430575839	9.4206210411	0.0	0.0	0.0
102.0	0.0650389546	9.3960363163	0.0	0.0	0.0
103.0	0.06775631265	9.3704244301	0.0	0.0	0.0
104.0	0.070587203194	9.3437424673	0.0	0.0	0.0
105.0	0.073536369674	9.3159457195	0.0	0.0	0.0
106.0	0.076608753714	9.2869876106	0.0	0.0	0.0
107.0	0.079809503401	9.2568196183	0.0	0.0	0.0
108.0	0.083143981913	9.2253911932	0.0	0.0	0.0
109.0	0.086617776501	9.1926496737	0.0	0.0	0.0
110.0	0.090236707858	9.1585401981	0.0	0.0	0.0
111.0	0.094006839866	9.1230056126	0.0	0.0	0.0
112.0	0.097934489758	9.0859863755	0.0	0.0	0.0
113.0	0.10202623871	9.0474204573	0.0	0.0	0.0
114.0	0.10628894285	9.0072432369	0.0	0.0	0.0
115.0	0.11072974477	8.9653873934	0.0	0.0	0.0
116.0	0.11535608547	8.921782793	0.0	0.0	0.0
117.0	0.12017571687	8.8763563721	0.0	0.0	0.0
118.0	0.12519671473	8.8290320139	0.0	0.0	0.0
119.0	0.13042749223	8.7797304218	0.0	0.0	0.0
120.0	0.13587681407	8.7283689861	0.0	0.0	0.0
121.0	0.14155381114	8.6748616455	0.0	0.0	0.0
122.0	0.14746799581	8.6191187431	0.0	0.0	0.0
123.0	0.15362927789	8.5610468761	0.0	0.0	0.0
124.0	0.16004798122	8.5005487391	0.0	0.0	0.0
125.0	0.166734861	8.4375229617	0.0	0.0	0.0
126.0	0.17370112175	8.3718639377	0.0	0.0	0.0
127.0	0.18095843615	8.3034616488	0.0	0.0	0.0
128.0	0.18851896454	8.2322014802	0.0	0.0	0.0
129.0	0.19639537536	8.1579640283	0.0	0.0	0.0
130.0	0.20460086633	8.0806249008	0.0	0.0	0.0
131.0	0.21314918655	8.0000545083	0.0	0.0	0.0
132.0	0.22205465961	7.916117847	0.0	0.0	0.0
133.0	0.23133220751	7.8286742726	0.0	0.0	0.0
