,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'SUCOAS', 'FALDM'}",2,1.2609586870394818e-05,0.4065871401217286,0.0,0.022536423841063413
1,"{'XAND', 'PTRCTA2'}",2,0.0,0.41780469358004846,0.0,0.022616564417185847
2,"{'PPK50r', 'AKGDa'}",2,0.0,0.40628965590530913,0.0,0.02253642384105739
3,"{'MUCCY_kt', 'AKGDa', 'FALDM'}",3,2.793464273651708e-06,0.09007326889883101,0.0,0.005013245033119059
4,"{'PTRCTA2', 'LEUDHr', 'PC'}",3,0.0,0.41780469358007255,0.0,0.022616564417191343
5,"{'XAND', 'PTRCTA2', 'PC'}",3,0.0,0.41780469358008254,0.0,0.022616564417185847
6,"{'MUCCY_kt', 'CYTK1', 'CSND'}",3,0.0,0.09086364497592375,0.0,0.004992024539876388
7,"{'MUCCY_kt', 'ECOAH8', 'PPK50r'}",3,0.0,0.09148286170390035,0.0,0.004992024539878147
8,"{'RBK', 'SUCOAS', 'FALDM'}",3,1.2609586852249082e-05,0.40658714012173014,0.0,0.022536423841053616
9,"{'AKGDa', 'ECOAH8', 'SUCOAS'}",3,0.0,0.40628965590536537,0.0,0.022536423841058723
