Strategy,Flux,Biomass,N_of_deletions,C_limit
"['FE3DCITR4', 'HACD20i', 'DHMPTR']",0.0,0.4178046935800731,3,12
"['ALLTAMH', 'GGDAPAH', 'HACD20i']",2.8487637249163806e-10,0.4178046935800636,3,12
"['ACONTb', 'PDHa', 'PDHcr']",2.0898196506635713e-09,0.3841324127775506,3,12
"['ACS', 'MAN1PT2', 'G5SD']",4.996842262877664e-10,0.4074555856318088,3,12
"['LPCOXc', 'ACONTb', 'GALUi']",1.3578425633875568e-08,0.3948266755025406,3,12
"['HACD2i', 'KAT7', 'PDHcr']",2.897841563931358e-09,0.4004984405955905,3,12
"['3AIBT2', 'TRPS3', 'GLUCYS']",3.407953114153983e-09,0.4178046935786271,3,12
"['GALUi', 'INSH', 'GTHS']",2.7255012413629487e-09,0.4178046935684589,3,12
"['GTHS', 'GGDAPAH', 'ALLTAMH']",1.1049133608054262e-08,0.4178046935796962,3,12
"['ACONTb', 'UPPN', 'GGDAPAH']",1.2918500880401431,0.1678846646821657,3,12
"['FALDM', 'G5SD']",1.1989181269366078e-05,0.4173044093144044,2,12
"['ACOAD25f', 'ACOAD24f']",1.7007986685690923e-10,0.4178046935800761,2,12
"['HPYRI', 'ACOAD24f']",0.0,0.4178046935800794,2,12
"['PRPPS', 'OHCUDC2']",0.0,0.4178046935800732,2,12
"['TRSARr', 'PPKr']",0.0,0.4110951387543289,2,12
"['HPYRI', 'OIVD1r']",0.0,0.4178046935800762,2,12
"['HPYRI', 'PPKr']",0.0,0.411095138754374,2,12
"['APATr', 'ACOAD24f']",2.222168941912184e-10,0.4178046935801445,2,12
"['ACOAD25f', 'HPYRI', 'TRSARr']",0.0,0.4070936298467693,3,12
"['KAT6', 'ECOAH26', '23CTI1']",2.369953983061279e-09,0.4178046935801418,3,12
"['ALDD19x', 'P5CR']",1.188258269557707e-09,0.4173066214777849,2,12
"['DHPM1', '3OXCOAT', 'ABTA']",0.2712113692042631,0.0417804693580592,3,12
"['DHPM1', 'GLXCL', 'ABTA']",1.2666366005648726,0.1731034580717719,3,12
"['ACOAD24f', 'GLXCL', 'ECOAH6']",3.651706048657388e-07,0.4070935623963311,3,12
"['PGI', 'ACOAD24f', 'ECOAH6']",2.611693616927369e-08,0.4178046935263033,3,12
"['PGI', 'MAN1PT2', 'GLXCL']",1.7152913908691225e-08,0.4070936298447493,3,12
"['PACCOAL', 'THRS', 'ACOAD24f']",2.183144276468596e-09,0.4086010568440272,3,12
"['ACOAD24f', 'ECOAH6', 'ALDD19x']",1.1593174770174741e-07,0.4178046678485753,3,12
"['ACONTb', 'CYTK1', 'CSND']",1.2326087511782546e-08,0.3922801468664486,3,12
"['RPE', 'FUM', 'CYTK1']",0.0,0.1435423395819657,3,12
"['GALUi', 'GLUTCOADHc', 'PMANM', 'HACD7i']",1.7058133157655528e-07,0.4178046620562435,4,12
"['ACOAD4f', 'CYTK1', 'ECOAH26', 'HACD7i']",6.398565566279045e-10,0.4166315749933087,4,12
"['PROD2', 'GLYCK', 'FUM', 'THRAr']",0.0,0.1441510983455015,4,12
"['ECOAH26', 'FUM', 'ACOAD4f', 'PMANM']",0.0,0.1441510983454847,4,12
"['GLYK', 'BPNT', 'FUM', 'MALS']",5.828795223566941e-08,0.0803645427059954,4,12
"['GALUi', 'CYTK1', 'ECOAH26', 'HACD7i']",3.363219305829723e-08,0.4166315729780124,4,12
"['GALUi', 'ACOAD4f', 'CYTK1', 'PMANM']",1.075897332336595e-08,0.4166315742191495,4,12
"['GALUi', 'ECOAH26', 'HACD7i', 'THRAr']",0.0,0.4178046935799788,4,12
"['GALUi', 'CYTK1', 'PMANM', 'ALDD19x']",1.3604900712949062e-09,0.4166315750907262,4,12
"['ACOAD4f', 'ECOAH26', 'HACD7i', 'THRAr']",0.0,0.4178046935800734,4,12
"['HACD8i', 'FALDM']",1.2003490252807075e-05,0.4178024761280895,2,12
"['SUCOAS', 'FALDM']",1.2609586600112466e-05,0.4065871401217756,2,12
