ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ADNK1 ADPT AST CS CSND CYTK1 ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr PGI TALA THRS,16,0.05980177,1.29897572,1,1.07953737663776
ACONTa ADNK1 ADPT AST CSND CYTK1 ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr PGI TALA THRS,16,0.05980177,1.29897572,1,1.07953737663776
ACOAD7f ACONTa ADNK1 ADPT AST CS CSND CYTK1 ENO GLUCYS GLYCTO1 HACD23i HPYRI INSH LTDCL ORNCD P5CD PDHbr PDHcr PGI PPK2r SERAT TALA THRD_L THRS,25,0.06027943,1.29610034,0.591381338542849,1.18767780792525
ACOAD7f ACONTa ADNK1 ADPT AST CS CSND CYTK1 ECOAH27 ENO GLUCYS GLYCTO1 HPYRI INSH LTDCL ORNCD P5CD PDHbr PDHcr PGI PPK2r SERAT TALA THRD_L THRS,25,0.06027943,1.29610034,0.591381338542849,1.18767780792525
ADNK1 ADPT AST CS CSND CYTK1 ENO GART GLYCTO1 INSH P5CD PDHbr PDHcr PGI TALA THRS,16,0.05990191,1.29562571,1,1.07993213679449
ACONTa ADNK1 ADPT AST CSND CYTK1 ENO GART GLYCTO1 INSH P5CD PDHbr PDHcr PGI TALA THRS,16,0.05990191,1.29562571,1,1.07993213679449
3HBCD ACOAD6f ACOAD7f ACONTa ADNK1 ADPT APATr AST CS CSND ECOAH2 ENO FACOAE80 GLYCTO1 HACD20i INSH NDPK3 ORNCD OXPTNDH PC PDHbr PDHcr PGI PPK50r SERAT TALA THRD_L THRS,28,0.06068006,1.29502798,0.814618508946761,1.12453286410215
ACOAD6f ACOAD7f ACONTb ADNK1 ADPT AST CSND ECOAH2 ENO FACOAE80 GLYCTO1 GRXR HACD23i HPYRRy ILEDHr INSH NDPK3 P5CD PDHbr PDHcr PGI PPK50r SERAT TALA THRD_L THRS VALDHr,27,0.06078317,1.29162197,0.838022761892807,1.11879728264308
ACOAD6f ACOAD7f ACONTb ADNK1 ADPT AST CSND ECOAH2 ECOAH27 ENO FACOAE80 GLYCTO1 GRXR HPYRRy ILEDHr INSH NDPK3 P5CD PDHbr PDHcr PGI PPK50r SERAT TALA THRD_L THRS VALDHr,27,0.06078317,1.29162197,0.838022761892807,1.11879728264308
ACOAD6f ACOAD7f ACONTa ADNK1 ADPT AST CSND ECOAH2 ENO FACOAE80 GLYCTO1 GRXR HACD23i HPYRRy ILEDHr INSH NDPK3 P5CD PDHbr PDHcr PGI PPK50r SERAT TALA THRD_L THRS VALDHr,27,0.06078317,1.29162197,0.838022761892807,1.11879728264308
ACOAD6f ACOAD7f ACONTa ADNK1 ADPT AST CSND ECOAH2 ECOAH27 ENO FACOAE80 GLYCTO1 GRXR HPYRRy ILEDHr INSH NDPK3 P5CD PDHbr PDHcr PGI PPK50r SERAT TALA THRD_L THRS VALDHr,27,0.06078317,1.29162197,0.838022761892807,1.11879728264308
ADPT AST CS CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,14,0.06439435,1.28625985,1,1.07308065663537
ACONTa ADPT AST CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,14,0.06439435,1.28625985,1,1.07308065663537
AST CS CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,13,0.06439706,1.28625208,1,1.07307692448244
ACONTa AST CSND CYTK1 ENO GART GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,13,0.06439706,1.28625208,1,1.07307692448244
ADPT AST CS CSND CYTK1 ENO GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,13,0.06494853,1.28305232,0.588707704393002,1.18254881026806
AST CS CSND CYTK1 ENO GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,12,0.06495129,1.28304435,0.561334809516485,1.19076298098598
ACONTa AST CSND CYTK1 ENO GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,12,0.06495129,1.28304435,0.561334809516485,1.19076298098598
3HBCD ACOAD7f ACONTa ADPT APATr AST CS CSND ECOAH2 ENO FACOAE80 GLYCTO1 HPYRRy INSH NDPK3 ORNCD OXPTNDH PC PDHbr PDHcr PGI PPK50r SERAT TALA THRD_L THRS,26,0.065069,1.2827663,0.813103167406906,1.11905707224195
ACONTa APATr AST CS CSND ECOAH2 ENO FACOAE80 GLYCTO1 HPYRRy INSH NDPK3 ORNCD OXPTNDH PC PDHbr PDHcr PGI PPK50r TALA THRD_L THRS,22,0.06507176,1.2827583,0.813084508548716,1.11905840411831
ADPT AST CS CSND CYTK1 ENO GART GLYCTO1 P5CD PDHbr PDHcr PGI TALA THRS,14,0.06451048,1.28262918,1,1.0735078893836
ACONTa ADPT AST CSND CYTK1 ENO GART GLYCTO1 P5CD PDHbr PDHcr PGI TALA THRS,14,0.06451048,1.28262918,1,1.0735078893836
AST CS CSND CYTK1 ENO GART GLYCTO1 P5CD PDHbr PDHcr PGI TALA THRS,13,0.06451319,1.28262124,1,1.07350419584321
ACONTa AST CSND CYTK1 ENO GART GLYCTO1 P5CD PDHbr PDHcr PGI TALA THRS,13,0.06451319,1.28262124,1,1.07350419584321
ADNK1 ADPT AST CS ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr PGI TALA THRS,14,0.06621007,1.28238443,1,1.07035032795677
ACONTa ADNK1 ADPT AST ENO GART GLYCTO1 INSH ORNCD PDHbr PDHcr PGI TALA THRS,14,0.06621007,1.28238443,1,1.07035032795677
ADPT AST CS ENO GART GLYCTO1 ORNCD PDHbr PDHcr PGI TALA THRS,12,0.066227,1.28233782,1,1.07032680694344
