,ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal,Color,BCPY,Score
1753,ABTA ALATA_L AST CS GLUR MALS MICITDr ORNCD PDHcr PGI PYK SERAT TALA,13,0.22857632,0.8784564,0.607380720802575,1.03151074287631,#6ece58,0.200794331192448,0.4040875259975115
1754,ABTA ALATA_L AST CS GLUR MALS MCITS ORNCD PDHcr PGI PYK SERAT TALA,13,0.22857632,0.8784564,0.607380720802575,1.03151074287631,#6ece58,0.200794331192448,0.4040875259975115
1752,ABTA ACONTa ALATA_L AST FALDM GLUR MALS MICITDr ORNCD PDHcr PGI TALA,12,0.228575,0.87845679,0.417297954719458,1.0979100101643,#1f9e89,0.20079326077425,0.309045607746854
1751,ABTA ACONTa ALATA_L AST FALDM GLUR MALS MCITS ORNCD PDHcr PGI TALA,12,0.228575,0.87845679,0.417297954719458,1.0979100101643,#1f9e89,0.20079326077425,0.309045607746854
1750,ABTA ACONTa ADNK1 ALATA_L AST GLUR MALS MCITS ORNCD PDHcr PGI TALA,12,0.22857482,0.87845684,0.417297977091265,1.09791016751175,#1f9e89,0.2007931140807688,0.3090455455860169
1749,ABTA ACONTa ADNK1 ALATA_L AST GLUR MALS MICITDr ORNCD PDHcr PGI TALA,12,0.22857482,0.87845684,0.417297977091265,1.09791016751175,#1f9e89,0.2007931140807688,0.3090455455860169
1748,ABTA ACONTa ADNK1 ALATA_L AST FALDM GLUR MALS MCITS ORNCD PDHcr PGI TALA,13,0.2285735,0.87845722,0.417298068236257,1.09791134439128,#1f9e89,0.20079204137567003,0.3090450548059635
1747,ABTA ACONTa ADNK1 ALATA_L AST FALDM GLUR MALS MICITDr ORNCD PDHcr PGI TALA,13,0.2285735,0.87845722,0.417298068236257,1.09791134439128,#1f9e89,0.20079204137567003,0.3090450548059635
1745,ABTA ADPT ALATA_L AST CS GLUR MALS MICITDr ORNCD PDHcr PGI PYK SERAT TALA,14,0.22857176,0.87845773,0.607380850547767,1.03151514262075,#6ece58,0.2007906294317048,0.4040857399897359
1746,ABTA ADPT ALATA_L AST CS GLUR MALS MCITS ORNCD PDHcr PGI PYK SERAT TALA,14,0.22857176,0.87845773,0.607380850547767,1.03151514262075,#6ece58,0.2007906294317048,0.4040857399897359
1744,ABTA ACONTa ALATA_L AST GLUR MALS MCITS NDPK3 ORNCD PDHcr PGI PYK TALA,13,0.22812417,0.87858803,0.426275918066902,1.09509334738258,#1f9e89,0.2004271651156851,0.3133515415912935
1743,ABTA ACONTa ALATA_L AST FALDM GLUR MALS MCITS NDPK3 ORNCD PDHcr PGI TALA,13,0.22812286,0.87858842,0.417326216232779,1.09831429038474,#1f9e89,0.2004261031332812,0.3088761596830301
1742,ABTA ACONTa ALATA_L AST FALDM GLUR MALS MICITDr NDPK3 ORNCD PDHcr PGI TALA,13,0.22812286,0.87858842,0.417326216232779,1.09831429038474,#1f9e89,0.2004261031332812,0.3088761596830301
